aX,aY,aZ,gX,gY,gZ
0.548,1.264,-0.807,78.430,-73.486,8.789
0.594,1.192,-0.664,118.713,-108.215,-9.277
0.583,1.078,-0.520,153.625,-132.629,-24.658
0.488,1.007,-0.491,177.551,-140.381,-32.227
0.405,0.885,-0.350,182.190,-141.418,-33.142
0.308,0.847,-0.223,167.786,-137.695,-25.757
0.187,0.828,-0.240,136.353,-129.822,-16.052
0.012,0.694,-0.112,78.308,-133.789,-8.545
-0.079,0.633,0.131,9.338,-144.104,1.099
-0.129,0.657,0.195,-43.030,-145.325,11.169
-0.166,0.751,0.194,-74.585,-142.517,15.747
-0.129,0.841,0.196,-93.079,-138.977,17.822
-0.050,0.910,0.193,-102.356,-134.521,17.151
0.036,0.978,0.158,-104.309,-128.357,15.015
0.112,1.040,0.070,-99.121,-119.629,11.719
0.191,1.118,-0.036,-86.914,-111.694,8.911
0.244,1.129,-0.113,-69.336,-108.643,6.836
0.264,1.117,-0.197,-53.467,-106.812,6.287
0.263,1.081,-0.308,-39.429,-103.699,7.690
0.247,1.046,-0.374,-24.536,-104.858,9.216
0.205,1.020,-0.343,-11.047,-112.061,10.559
0.148,0.960,-0.270,-0.122,-120.422,10.498
0.096,0.904,-0.179,3.845,-126.160,10.681
0.048,0.873,-0.120,0.610,-128.052,12.451
-0.001,0.898,-0.127,-7.507,-124.939,15.869
-0.034,0.946,-0.163,-18.188,-120.178,20.264
-0.080,0.986,-0.166,-29.053,-118.469,23.926
-0.131,0.967,-0.202,-38.940,-116.699,25.757
-0.143,1.003,-0.227,-52.185,-109.863,28.809
-0.144,1.021,-0.218,-64.209,-102.844,30.701
-0.160,1.014,-0.191,-67.871,-96.985,27.588
-0.123,0.995,-0.203,-70.313,-89.111,24.353
-0.196,1.005,-0.195,-71.594,-78.369,19.470
-0.183,1.013,-0.193,-60.242,-69.214,12.878
-0.304,0.984,-0.092,-34.729,-66.956,8.240
-0.307,0.970,-0.050,-5.554,-61.218,10.559
-0.285,0.946,-0.029,19.104,-52.673,17.456
-0.161,1.018,-0.051,38.147,-45.654,26.672
-0.106,1.049,-0.112,53.284,-39.917,28.320
-0.077,1.014,-0.170,68.359,-34.912,24.170
-0.047,0.956,-0.245,79.163,-30.029,20.996
-0.030,0.879,-0.323,86.304,-25.757,18.005
-0.036,0.782,-0.340,89.783,-26.123,15.686
-0.039,0.701,-0.353,91.614,-29.541,14.221
-0.042,0.646,-0.351,94.177,-35.278,14.771
-0.072,0.633,-0.319,96.069,-43.518,17.700
-0.121,0.647,-0.308,95.825,-51.575,20.935
-0.180,0.675,-0.274,95.154,-60.303,23.010
-0.223,0.700,-0.174,90.820,-69.336,24.902
-0.245,0.739,-0.011,78.735,-74.768,26.672
-0.265,0.774,0.091,59.021,-73.120,28.320
-0.255,0.791,0.081,40.955,-64.758,29.114
-0.262,0.843,0.053,22.949,-58.838,31.128
-0.223,1.008,0.085,3.662,-60.120,34.302
-0.161,1.275,0.249,-11.047,-66.833,35.950
-0.101,1.471,0.355,-13.245,-66.711,30.701
-0.043,1.491,0.307,-17.212,-54.749,19.836
-0.012,1.466,0.076,-35.889,-38.940,10.742
-0.016,1.480,-0.079,-57.983,-33.508,6.958
0.032,1.498,0.049,-62.744,-44.739,6.165
0.061,1.410,0.215,-35.339,-52.673,3.296
0.074,1.193,0.274,2.075,-46.570,0.977
0.050,1.040,0.259,23.254,-36.865,4.578
0.033,1.037,0.161,27.832,-30.945,12.817
0.037,1.089,0.138,28.198,-35.034,17.822
0.046,1.071,0.156,28.748,-44.189,16.541
0.056,1.048,0.132,24.292,-48.523,14.038
0.053,1.035,0.110,15.198,-50.842,13.245
0.039,0.983,0.113,7.507,-55.115,11.597
0.024,0.961,0.107,0.977,-59.021,12.085
0.016,0.947,0.123,-3.662,-60.547,13.977
0.007,0.919,0.170,-3.723,-60.669,15.991
0.001,0.892,0.187,0.977,-57.800,18.066
-0.013,0.869,0.166,9.094,-52.612,19.897
-0.035,0.863,0.129,19.348,-48.401,21.362
-0.063,0.865,0.080,29.724,-45.898,21.545
-0.089,0.840,0.041,37.842,-45.776,20.020
-0.107,0.798,0.041,39.673,-47.729,18.005
-0.117,0.811,0.078,33.142,-51.331,18.127
-0.121,0.849,0.117,23.071,-53.101,18.555
-0.117,0.866,0.146,13.916,-52.551,16.479
-0.116,0.860,0.166,7.629,-49.683,13.794
-0.120,0.862,0.197,3.235,-47.791,11.719
-0.127,0.850,0.220,0.061,-45.959,10.803
-0.125,0.821,0.211,-2.625,-43.762,10.620
-0.115,0.858,0.183,-5.493,-40.710,11.536
-0.109,0.906,0.169,-4.822,-37.231,12.451
-0.107,0.904,0.174,1.587,-34.973,10.742
-0.102,0.899,0.148,7.507,-32.532,8.606
-0.101,0.896,0.117,11.658,-29.663,5.615
-0.096,0.899,0.102,12.695,-27.344,2.441
-0.090,0.944,0.098,11.353,-26.306,0.183
-0.086,0.974,0.097,13.000,-26.917,-2.563
-0.061,0.969,0.082,16.113,-25.818,-6.042
-0.010,0.962,0.079,16.357,-22.949,-9.399
0.061,1.009,0.117,14.771,-23.193,-11.047
0.117,1.023,0.127,19.348,-25.635,-14.893
0.086,0.925,0.046,28.809,-25.330,-22.766
-0.005,0.819,-0.098,30.212,-22.156,-28.992
-0.098,0.790,-0.119,18.616,-24.109,-30.457
-0.247,0.950,0.085,-2.502,-40.894,-25.757
-0.329,1.134,0.309,-18.860,-58.594,-16.418
-0.241,1.375,0.132,-41.504,-47.424,-4.822
-0.136,1.589,-0.275,-84.167,-17.334,8.362
-0.080,1.579,-0.508,-111.328,-2.441,9.277
0.025,1.380,-0.619,-106.812,-7.446,-0.122
-0.053,1.131,-0.432,-90.637,-27.710,-16.357
-0.105,1.121,-0.366,-75.378,-46.631,-15.442
-0.104,1.185,-0.369,-42.358,-59.265,-5.493
-0.072,1.039,-0.305,19.348,-69.458,-8.301
-0.058,0.899,-0.220,74.829,-74.707,-13.550
-0.124,0.813,-0.082,109.314,-73.669,-16.846
-0.208,0.669,0.075,126.282,-68.970,-25.757
-0.227,0.689,0.189,116.272,-61.279,-29.663
-0.229,0.820,0.202,83.435,-49.683,-28.564
-0.206,0.922,0.123,43.091,-37.537,-29.358
-0.169,0.980,0.023,4.761,-27.344,-30.029
-0.093,0.966,-0.059,-20.691,-19.592,-30.640
-0.006,1.000,-0.107,-38.940,-16.785,-27.954
0.088,1.830,-0.732,-171.082,124.939,43.152
-0.108,1.493,-0.709,-124.512,102.722,6.775
0.020,1.199,-0.560,-52.063,82.642,-9.094
0.295,1.062,-0.514,21.606,68.176,-16.174
0.382,0.891,-0.344,75.867,56.335,-36.011
0.394,0.858,-0.196,94.421,52.185,-43.457
0.332,0.908,-0.177,91.187,60.364,-42.358
0.233,1.000,-0.146,82.764,70.557,-34.973
0.139,1.043,-0.063,76.965,73.914,-28.870
0.069,1.078,-0.003,69.946,72.083,-23.376
0.044,1.091,0.076,60.120,66.711,-17.639
0.067,1.102,0.122,46.204,62.378,-13.245
0.130,1.100,0.130,29.724,59.265,-10.376
0.211,1.049,0.088,14.771,58.594,-9.460
0.265,1.002,0.017,-0.427,59.937,-8.057
0.279,0.997,-0.066,-14.526,61.279,-5.493
0.268,0.980,-0.148,-24.292,61.340,-3.113
0.264,0.970,-0.223,-28.748,58.777,-1.648
0.250,0.952,-0.216,-27.405,52.490,-0.122
0.234,0.930,-0.155,-20.569,43.518,0.549
0.207,0.904,-0.118,-10.681,35.461,1.099
0.177,0.845,-0.075,1.282,27.405,0.854
0.164,0.810,-0.030,14.832,19.226,0.793
0.169,0.797,0.037,28.748,10.803,0.122
0.184,0.828,0.120,39.673,5.371,-1.526
0.194,0.911,0.134,48.401,6.165,-4.639
0.178,0.943,0.112,56.519,10.742,-9.827
0.119,0.850,0.012,61.218,16.113,-15.747
0.095,0.818,-0.104,52.490,15.625,-15.564
0.082,0.778,-0.165,32.043,8.728,-14.343
0.079,0.739,-0.131,5.859,0.610,-13.245
0.062,0.783,-0.006,-21.912,-3.418,-7.690
0.013,0.849,0.070,-37.170,-0.549,-1.953
-0.031,0.898,0.026,-39.063,6.287,1.831
-0.056,0.913,-0.017,-32.715,9.460,3.113
-0.027,0.950,-0.052,-25.024,7.507,4.578
0.042,0.981,-0.059,-15.869,2.441,6.042
0.085,1.016,-0.052,-5.188,-2.930,6.592
0.140,1.012,-0.000,9.338,-8.118,4.822
0.196,0.964,0.077,23.376,-10.681,1.587
0.237,0.966,0.119,27.954,-6.714,0.488
0.255,1.018,0.105,30.457,2.258,2.319
0.281,1.104,0.025,36.560,13.062,4.211
0.137,1.135,-0.314,41.077,24.658,5.737
-0.002,1.173,-0.755,40.771,38.025,11.230
-0.111,1.155,-0.836,23.499,35.095,18.799
-0.162,1.257,-0.862,-4.944,17.822,24.658
-0.147,1.342,-0.625,-19.592,0.671,24.048
-0.187,1.110,-0.194,-19.897,-8.911,11.536
