aX,aY,aZ,gX,gY,gZ
-0.706,2.056,0.494,111.755,73.181,-32.593
-0.611,2.242,0.429,137.268,51.086,-63.782
-0.483,2.166,0.534,162.231,38.330,-83.801
-0.449,2.097,0.488,155.151,49.927,-73.914
-0.426,2.056,0.474,127.136,67.444,-49.927
-0.485,1.813,0.491,93.018,77.087,-35.034
-0.581,1.825,0.523,55.908,74.768,-22.034
-0.686,2.050,0.430,23.621,53.162,-6.897
-0.825,2.494,0.495,-7.874,19.714,5.554
-0.860,2.990,0.674,-39.368,-11.536,9.644
-0.769,3.356,0.782,-59.082,-42.175,5.615
-0.633,3.405,0.733,-66.162,-58.655,-3.723
-0.537,3.276,0.701,-72.571,-55.725,-11.047
-0.548,2.980,0.492,-78.857,-46.631,-8.118
-0.547,2.549,0.223,-74.890,-40.649,2.686
-0.512,2.077,0.023,-61.890,-36.682,18.250
-0.431,1.616,-0.227,-48.767,-33.203,30.396
-0.334,1.165,-0.390,-39.429,-33.020,36.926
-0.257,0.670,-0.325,-30.762,-34.668,41.809
-0.213,0.249,-0.106,-19.592,-26.001,52.368
-0.212,-0.063,0.031,-5.676,-1.404,66.528
-0.220,-0.369,0.032,13.611,28.625,75.073
-0.188,-0.522,-0.074,30.273,49.438,80.444
-0.136,-0.509,-0.194,47.058,59.265,81.299
-0.063,-0.492,-0.356,69.824,63.965,79.651
0.002,-0.396,-0.467,80.383,59.265,71.716
0.054,-0.279,-0.599,75.867,43.335,61.829
0.136,-0.180,-0.640,46.448,22.339,51.392
0.150,-0.045,-0.477,5.798,9.827,43.152
0.127,0.096,-0.217,-14.709,8.423,37.598
0.087,0.147,-0.052,-13.977,4.456,34.668
0.052,0.159,0.023,-14.954,-2.380,34.119
0.045,0.191,0.052,-26.611,-10.193,35.339
0.076,0.221,0.080,-39.307,-19.287,34.302
0.092,0.229,0.153,-43.945,-26.489,25.574
0.116,0.184,0.246,-34.241,-26.855,11.292
0.106,0.159,0.299,-18.066,-20.874,0.854
0.089,0.136,0.297,0.000,-10.803,-2.258
0.072,0.103,0.272,17.822,-0.610,-0.610
0.036,0.054,0.240,31.250,8.728,4.150
-0.002,-0.023,0.205,36.255,17.944,9.766
-0.022,-0.080,0.167,33.264,25.208,15.625
-0.026,-0.086,0.122,25.085,28.931,20.935
-0.032,-0.080,0.070,17.578,27.649,23.560
-0.038,-0.064,0.016,11.536,24.719,23.743
-0.035,-0.040,-0.032,7.141,21.851,22.949
-0.026,-0.024,-0.084,4.700,17.456,21.423
-0.015,0.000,-0.154,1.038,9.888,18.494
-0.011,0.030,-0.198,-2.869,2.808,15.015
-0.011,0.074,-0.206,-4.944,2.258,13.367
-0.036,0.071,-0.199,-0.122,5.310,11.108
-0.060,0.049,-0.176,8.362,9.094,8.118
-0.093,0.039,-0.211,16.418,13.123,5.859
-0.160,0.086,-0.158,23.499,13.245,1.953
-0.234,0.224,-0.088,37.231,3.784,-2.991
-0.361,0.481,-0.063,57.190,-16.113,-5.249
-0.476,0.836,-0.148,73.975,-35.706,-6.226
-0.509,1.102,-0.247,80.994,-35.706,-6.653
-0.549,1.262,-0.091,73.975,-23.071,-8.423
-0.638,1.432,0.217,61.401,-16.357,-5.493
-0.702,1.614,0.456,57.922,-15.076,2.502
-0.804,1.759,0.703,58.289,-8.911,8.240
-0.920,1.906,0.968,46.631,8.911,11.047
-0.879,2.034,1.015,31.189,38.086,5.737
-0.689,2.130,0.910,16.174,61.646,-7.629
